GameID,Week,Time
401030923,12,2018-11-23T01:20Z
401030919,12,2018-11-25T18:00Z
401030921,12,2018-11-25T18:00Z
401030906,12,2018-11-25T18:00Z
401030904,12,2018-11-25T18:00Z
401030914,12,2018-11-25T18:00Z
401030902,12,2018-11-25T18:00Z
401030920,12,2018-11-25T18:00Z
401030916,12,2018-11-25T18:00Z
401030912,12,2018-11-25T21:05Z
401030911,12,2018-11-25T21:25Z
401030908,12,2018-11-26T01:20Z
401030762,12,2018-11-27T01:15Z
401030899,13,2018-11-30T01:20Z
401030928,13,2018-12-02T18:00Z
401030955,13,2018-12-02T18:00Z
401030957,13,2018-12-02T18:00Z
401030965,13,2018-12-02T18:00Z
401030954,13,2018-12-02T18:00Z
401030953,13,2018-12-02T18:00Z
401030951,13,2018-12-02T18:00Z
401030968,13,2018-12-02T18:00Z
401030962,13,2018-12-02T18:00Z
401030964,13,2018-12-02T18:00Z
401030960,13,2018-12-02T21:05Z
401030935,13,2018-12-02T21:05Z
401030959,13,2018-12-02T21:25Z
401030958,13,2018-12-03T01:20Z
401030871,13,2018-12-04T01:15Z
401030724,14,2018-12-07T01:20Z
401030750,14,2018-12-09T18:00Z
401030817,14,2018-12-09T18:00Z
401030823,14,2018-12-09T18:00Z
401030825,14,2018-12-09T18:00Z
401030764,14,2018-12-09T18:00Z
401030761,14,2018-12-09T18:00Z
401030758,14,2018-12-09T18:00Z
401030753,14,2018-12-09T18:00Z
401030813,14,2018-12-09T18:00Z
401030851,14,2018-12-09T21:05Z
401030827,14,2018-12-09T21:05Z
401030854,14,2018-12-09T21:25Z
401030860,14,2018-12-09T21:25Z
401030863,14,2018-12-10T01:20Z
401030867,14,2018-12-11T01:15Z
401030874,15,2018-12-14T01:20Z
401030876,15,2018-12-15T21:30Z
401030891,15,2018-12-15T21:30Z
401030900,15,2018-12-16T18:00Z
401030896,15,2018-12-16T18:00Z
401030893,15,2018-12-16T18:00Z
401030909,15,2018-12-16T18:00Z
401030927,15,2018-12-16T18:00Z
401030918,15,2018-12-16T18:00Z
401030915,15,2018-12-16T18:00Z
401030924,15,2018-12-16T18:00Z
401030898,15,2018-12-16T18:00Z
401030950,15,2018-12-16T21:05Z
401030956,15,2018-12-16T21:25Z
401030961,15,2018-12-17T01:20Z
401030967,15,2018-12-18T01:15Z
401030872,16,2018-12-23T18:00Z
401030875,16,2018-12-23T18:00Z
401030877,16,2018-12-23T18:00Z
401030868,16,2018-12-23T18:00Z
401030861,16,2018-12-23T18:00Z
401030866,16,2018-12-23T18:00Z
401030892,16,2018-12-23T18:00Z
401030870,16,2018-12-23T18:00Z
401030864,16,2018-12-23T18:00Z
401030895,16,2018-12-23T18:00Z
401030907,16,2018-12-23T21:05Z
401030897,16,2018-12-23T21:05Z
401030901,16,2018-12-23T21:05Z
401030913,16,2018-12-23T21:25Z
401030917,16,2018-12-24T01:20Z
401030926,16,2018-12-25T01:15Z
401030722,17,2018-12-30T18:00Z
401030757,17,2018-12-30T18:00Z
401030755,17,2018-12-30T18:00Z
401030760,17,2018-12-30T18:00Z
401030763,17,2018-12-30T18:00Z
401030765,17,2018-12-30T18:00Z
401030768,17,2018-12-30T18:00Z
401030812,17,2018-12-30T18:00Z
401030818,17,2018-12-30T18:00Z
401030820,17,2018-12-30T18:00Z
401030727,17,2018-12-30T18:00Z
401030719,17,2018-12-30T18:00Z
401030759,17,2018-12-30T18:00Z
401030824,17,2018-12-30T21:25Z
401030850,17,2018-12-30T21:25Z
401030856,17,2018-12-30T21:25Z
